2002 TPHC ,,,,,,,,,,,2012 TPHC ,,,,,,,,,,,,,,,,,,,,,,,
"Table 1.0: Dodoma Region: Total Population by Age in Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 1.0: Dodoma Region: Total Population by Age in Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
45-49,"6,155","2,946","3,209","6,155","2,946","3,209",0,0,0,,"7,966","4,017","3,949","7,763","3,915","3,848",203,102,101,,,,,,,,,,,,,,,
50-54,"5,378","2,474","2,904","5,378","2,474","2,904",0,0,0,,"7,371","3,607","3,764","7,152","3,480","3,672",219,127,92,,,,,,,,,,,,,,,
55-59,"3,166","1,525","1,641","3,166","1,525","1,641",0,0,0,,"4,192","2,170","2,022","4,067","2,107","1,960",125,63,62,,,,,,,,,,,,,,,
60-64,"3,514","1,489","2,025","3,514","1,489","2,025",0,0,0,,"4,782","2,191","2,591","4,649","2,131","2,518",133,60,73,,,,,,,,,,,,,,,
65-69,"2,337","1,096","1,241","2,337","1,096","1,241",0,0,0,,"2,650","1,233","1,417","2,588","1,202","1,386",62,31,31,,,,,,,,,,,,,,,
70-74,"2,236","1,063","1,173","2,236","1,063","1,173",0,0,0,,"3,241","1,414","1,827","3,152","1,371","1,781",89,43,46,,,,,,,,,,,,,,,
75-79,"1,214",683,531,"1,214",683,531,0,0,0,,"1,613",771,842,"1,571",750,821,42,21,21,,,,,,,,,,,,,,,
80+,"1,714",881,833,"1,714",881,833,0,0,0,,"3,946","1,749","2,197","3,814","1,691","2,123",132,58,74,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
"Table16.3 Kigoma District : Total Population by Age in Single Years, Five Years Age Groups,  Sex and Residence",,,,,,,,,,,"Table16.3 Kigoma District : Total Population by Age in Single Years, Five Years Age Groups,  Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"204,627","96,901","107,726","183,101","86,726","96,375","21,526","10,175","11,351",,"209,337","100,398","108,939","201,487","96,734","104,753","7,850","3,664","4,186",,,,,,,,,,,,,,,
0-4,"38,340","19,236","19,104","34,111","17,127","16,984","4,229","2,109","2,120",,"37,314","18,742","18,572","36,097","18,127","17,970","1,217",615,602,,,,,,,,,,,,,,,
9-May,"34,112","17,020","17,092","30,446","15,200","15,246","3,666","1,820","1,846",,"32,388","16,532","15,856","31,279","15,935","15,344","1,109",597,512,,,,,,,,,,,,,,,
4-Oct,"28,799","14,469","14,330","25,868","13,020","12,848","2,931","1,449","1,482",,"29,329","14,838","14,491","28,266","14,331","13,935","1,063",507,556,,,,,,,,,,,,,,,
15-19,"21,746","10,402","11,344","19,606","9,340","10,266","2,140","1,062","1,078",,"22,434","11,060","11,374","21,483","10,583","10,900",951,477,474,,,,,,,,,,,,,,,
20-24,"16,043","6,481","9,562","14,229","5,736","8,493","1,814",745,"1,069",,"16,325","7,113","9,212","15,643","6,832","8,811",682,281,401,,,,,,,,,,,,,,,
25-29,"13,910","5,812","8,098","12,349","5,164","7,185","1,561",648,913,,"13,010","5,464","7,546","12,476","5,256","7,220",534,208,326,,,,,,,,,,,,,,,
30-34,"10,877","4,643","6,234","9,651","4,122","5,529","1,226",521,705,,"10,791","4,640","6,151","10,376","4,473","5,903",415,167,248,,,,,,,,,,,,,,,
35-39,"8,896","4,034","4,862","7,961","3,589","4,372",935,445,490,,"9,627","4,212","5,415","9,260","4,061","5,199",367,151,216,,,,,,,,,,,,,,,
40-44,"7,370","3,384","3,986","6,657","3,052","3,605",713,332,381,,"7,984","3,473","4,511","7,683","3,340","4,343",301,133,168,,,,,,,,,,,,,,,
45-49,"5,466","2,478","2,988","4,979","2,261","2,718",487,217,270,,"6,539","3,083","3,456","6,274","2,981","3,293",265,102,163,,,,,,,,,,,,,,,
50-54,"4,944","2,137","2,807","4,446","1,911","2,535",498,226,272,,"6,324","3,050","3,274","6,071","2,933","3,138",253,117,136,,,,,,,,,,,,,,,
55-59,"2,992","1,495","1,497","2,710","1,345","1,365",282,150,132,,"3,777","1,927","1,850","3,610","1,852","1,758",167,75,92,,,,,,,,,,,,,,,
60-64,"3,372","1,479","1,893","3,064","1,342","1,722",308,137,171,,"3,949","1,772","2,177","3,791","1,708","2,083",158,64,94,,,,,,,,,,,,,,,
65-69,"2,156","1,032","1,124","1,951",938,"1,013",205,94,111,,"2,239","1,126","1,113","2,159","1,084","1,075",80,42,38,,,,,,,,,,,,,,,
70-74,"2,280","1,044","1,236","2,047",945,"1,102",233,99,134,,"2,705","1,197","1,508","2,580","1,144","1,436",125,53,72,,,,,,,,,,,,,,,
75-79,"1,247",679,568,"1,134",625,509,113,54,59,,"1,435",711,724,"1,379",682,697,56,29,27,,,,,,,,,,,,,,,
80+,"2,077","1,076","1,001","1,892","1,009",883,185,67,118,,"3,167","1,458","1,709","3,060","1,412","1,648",107,46,61,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
"Table16.4 Kigoma Ujiji Manicipal Council : Total Population by Age in Single Years, Five Years Age Groups,  Sex and Residence",,,,,,,,,,,"Table16.4 Kigoma Ujiji Manicipal Council : Total Population by Age in Single Years, Five Years Age Groups,  Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"144,257","70,228","74,029","14,115","7,421","6,694","130,142","62,807","67,335",,"211,598","101,689","109,909",0,0,0,"211,598","101,689","109,909",,,,,,,,,,,,,,,
0-4,"23,151","11,541","11,610","2,305","1,132","1,173","20,846","10,409","10,437",,"32,240","16,109","16,131",0,0,0,"32,240","16,109","16,131",,,,,,,,,,,,,,,
9-May,"20,367","10,163","10,204","1,850",942,908,"18,517","9,221","9,296",,"29,284","14,676","14,608",0,0,0,"29,284","14,676","14,608",,,,,,,,,,,,,,,
4-Oct,"19,345","9,445","9,900","1,584",822,762,"17,761","8,623","9,138",,"28,996","14,057","14,939",0,0,0,"28,996","14,057","14,939",,,,,,,,,,,,,,,
15-19,"18,299","8,770","9,529","1,575",844,731,"16,724","7,926","8,798",,"27,084","12,900","14,184",0,0,0,"27,084","12,900","14,184",,,,,,,,,,,,,,,
20-24,"14,924","6,996","7,928","1,571",860,711,"13,353","6,136","7,217",,"20,198","9,576","10,622",0,0,0,"20,198","9,576","10,622",,,,,,,,,,,,,,,
25-29,"11,860","5,473","6,387","1,260",678,582,"10,600","4,795","5,805",,"15,850","6,947","8,903",0,0,0,"15,850","6,947","8,903",,,,,,,,,,,,,,,
30-34,"9,027","4,240","4,787",987,548,439,"8,040","3,692","4,348",,"12,964","5,840","7,124",0,0,0,"12,964","5,840","7,124",,,,,,,,,,,,,,,
35-39,"6,784","3,373","3,411",726,391,335,"6,058","2,982","3,076",,"11,144","5,295","5,849",0,0,0,"11,144","5,295","5,849",,,,,,,,,,,,,,,
40-44,"5,817","3,056","2,761",610,364,246,"5,207","2,692","2,515",,"8,645","4,199","4,446",0,0,0,"8,645","4,199","4,446",,,,,,,,,,,,,,,
45-49,"3,995","2,126","1,869",422,224,198,"3,573","1,902","1,671",,"6,494","3,217","3,277",0,0,0,"6,494","3,217","3,277",,,,,,,,,,,,,,,
50-54,"3,104","1,602","1,502",338,174,164,"2,766","1,428","1,338",,"6,037","2,959","3,078",0,0,0,"6,037","2,959","3,078",,,,,,,,,,,,,,,
55-59,"1,761",939,822,201,118,83,"1,560",821,739,,"3,517","1,940","1,577",0,0,0,"3,517","1,940","1,577",,,,,,,,,,,,,,,
60-64,"1,916",863,"1,053",207,101,106,"1,709",762,947,,"3,062","1,434","1,628",0,0,0,"3,062","1,434","1,628",,,,,,,,,,,,,,,
65-69,"1,142",522,620,129,66,63,"1,013",456,557,,"1,726",822,904,0,0,0,"1,726",822,904,,,,,,,,,,,,,,,
70-74,"1,188",444,744,147,53,94,"1,041",391,650,,"1,690",684,"1,006",0,0,0,"1,690",684,"1,006",,,,,,,,,,,,,,,
75-79,623,298,325,76,45,31,547,253,294,,860,418,442,0,0,0,860,418,442,,,,,,,,,,,,,,,
80+,954,377,577,127,59,68,827,318,509,,"1,807",616,"1,191",0,0,0,"1,807",616,"1,191",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
"Table16.5 Kigoma District : Total Population by Age in Single Years, Five Years Age Groups,  Sex and Residence",,,,,,,,,,,"Table16.5 Kigoma District : Total Population by Age in Single Years, Five Years Age Groups,  Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"284,644","139,459","145,185","282,190","138,276","143,914","2,454","1,183","1,271",,"378,892","186,191","192,701","347,604","171,102","176,502","31,288","15,089","16,199",,,,,,,,,,,,,,,
0-4,"55,850","27,898","27,952","55,429","27,682","27,747",421,216,205,,"75,583","37,714","37,869","69,765","34,871","34,894","5,818","2,843","2,975",,,,,,,,,,,,,,,
9-May,"45,700","23,030","22,670","45,398","22,893","22,505",302,137,165,,"61,601","30,931","30,670","56,786","28,570","28,216","4,815","2,361","2,454",,,,,,,,,,,,,,,
4-Oct,"37,972","19,227","18,745","37,635","19,078","18,557",337,149,188,,"49,577","25,062","24,515","45,198","22,887","22,311","4,379","2,175","2,204",,,,,,,,,,,,,,,
15-19,"30,607","14,933","15,674","30,320","14,793","15,527",287,140,147,,"36,267","18,018","18,249","33,022","16,394","16,628","3,245","1,624","1,621",,,,,,,,,,,,,,,
20-24,"25,556","11,164","14,392","25,304","11,049","14,255",252,115,137,,"29,329","13,000","16,329","26,806","11,912","14,894","2,523","1,088","1,435",,,,,,,,,,,,,,,
25-29,"21,542","9,910","11,632","21,321","9,805","11,516",221,105,116,,"26,276","11,802","14,474","24,218","10,896","13,322","2,058",906,"1,152",,,,,,,,,,,,,,,
30-34,"16,390","7,914","8,476","16,236","7,826","8,410",154,88,66,,"21,847","10,286","11,561","20,024","9,489","10,535","1,823",797,"1,026",,,,,,,,,,,,,,,
35-39,"12,164","5,862","6,302","12,041","5,811","6,230",123,51,72,,"18,569","9,081","9,488","16,885","8,278","8,607","1,684",803,881,,,,,,,,,,,,,,,
40-44,"10,609","5,287","5,322","10,545","5,249","5,296",64,38,26,,"14,576","7,316","7,260","13,410","6,738","6,672","1,166",578,588,,,,,,,,,,,,,,,
45-49,"6,895","3,496","3,399","6,812","3,449","3,363",83,47,36,,"10,718","5,456","5,262","9,807","4,981","4,826",911,475,436,,,,,,,,,,,,,,,
50-54,"6,515","3,217","3,298","6,463","3,188","3,275",52,29,23,,"10,120","5,188","4,932","9,232","4,724","4,508",888,464,424,,,,,,,,,,,,,,,
55-59,"3,626","1,944","1,682","3,587","1,930","1,657",39,14,25,,"5,861","3,198","2,663","5,383","2,943","2,440",478,255,223,,,,,,,,,,,,,,,
60-64,"3,885","1,806","2,079","3,845","1,788","2,057",40,18,22,,"5,854","3,015","2,839","5,401","2,802","2,599",453,213,240,,,,,,,,,,,,,,,
65-69,"2,261","1,179","1,082","2,234","1,161","1,073",27,18,9,,"3,308","1,761","1,547","3,040","1,614","1,426",268,147,121,,,,,,,,,,,,,,,
70-74,"2,176","1,029","1,147","2,161","1,022","1,139",15,7,8,,"3,631","1,746","1,885","3,328","1,601","1,727",303,145,158,,,,,,,,,,,,,,,
75-79,"1,263",707,556,"1,252",702,550,11,5,6,,"1,811",909,902,"1,630",812,818,181,97,84,,,,,,,,,,,,,,,
80+,"1,633",856,777,"1,607",850,757,26,6,20,,"3,964","1,708","2,256","3,669","1,590","2,079",295,118,177,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
"Table16.6 Buhingwe District Council : Total Population by Age in Single Years, Five Years Age Groups,  Sex and Residence",,,,,,,,,,,"Table16.6 Buhingwe District Council : Total Population by Age in Single Years, Five Years Age Groups,  Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"189,689","88,094","101,595","189,689","88,094","101,595",0,0,0,,"251,751","119,460","132,291","251,751","119,460","132,291",0,0,0,,,,,,,,,,,,,,,
0-4,"36,345","18,061","18,284","36,345","18,061","18,284",0,0,0,,"50,014","25,115","24,899","50,014","25,115","24,899",0,0,0,,,,,,,,,,,,,,,
9-May,"31,426","15,826","15,600","31,426","15,826","15,600",0,0,0,,"39,932","20,056","19,876","39,932","20,056","19,876",0,0,0,,,,,,,,,,,,,,,
4-Oct,"26,697","13,320","13,377","26,697","13,320","13,377",0,0,0,,"34,067","17,081","16,986","34,067","17,081","16,986",0,0,0,,,,,,,,,,,,,,,
15-19,"19,696","8,718","10,978","19,696","8,718","10,978",0,0,0,,"24,805","11,617","13,188","24,805","11,617","13,188",0,0,0,,,,,,,,,,,,,,,
20-24,"14,663","5,405","9,258","14,663","5,405","9,258",0,0,0,,"18,698","7,661","11,037","18,698","7,661","11,037",0,0,0,,,,,,,,,,,,,,,
25-29,"12,814","5,288","7,526","12,814","5,288","7,526",0,0,0,,"15,665","6,632","9,033","15,665","6,632","9,033",0,0,0,,,,,,,,,,,,,,,
30-34,"10,057","4,461","5,596","10,057","4,461","5,596",0,0,0,,"13,053","5,555","7,498","13,053","5,555","7,498",0,0,0,,,,,,,,,,,,,,,
35-39,"7,838","3,689","4,149","7,838","3,689","4,149",0,0,0,,"11,755","5,436","6,319","11,755","5,436","6,319",0,0,0,,,,,,,,,,,,,,,
40-44,"6,437","2,988","3,449","6,437","2,988","3,449",0,0,0,,"9,492","4,366","5,126","9,492","4,366","5,126",0,0,0,,,,,,,,,,,,,,,
45-49,"4,884","2,080","2,804","4,884","2,080","2,804",0,0,0,,"7,239","3,448","3,791","7,239","3,448","3,791",0,0,0,,,,,,,,,,,,,,,
50-54,"4,419","1,757","2,662","4,419","1,757","2,662",0,0,0,,"6,845","3,196","3,649","6,845","3,196","3,649",0,0,0,,,,,,,,,,,,,,,
55-59,"2,991","1,332","1,659","2,991","1,332","1,659",0,0,0,,"4,126","2,044","2,082","4,126","2,044","2,082",0,0,0,,,,,,,,,,,,,,,
60-64,"3,350","1,303","2,047","3,350","1,303","2,047",0,0,0,,"4,591","2,077","2,514","4,591","2,077","2,514",0,0,0,,,,,,,,,,,,,,,
65-69,"2,391","1,029","1,362","2,391","1,029","1,362",0,0,0,,"2,707","1,243","1,464","2,707","1,243","1,464",0,0,0,,,,,,,,,,,,,,,
70-74,"2,331","1,064","1,267","2,331","1,064","1,267",0,0,0,,"3,179","1,355","1,824","3,179","1,355","1,824",0,0,0,,,,,,,,,,,,,,,
75-79,"1,291",695,596,"1,291",695,596,0,0,0,,"1,629",794,835,"1,629",794,835,0,0,0,,,,,,,,,,,,,,,
80+,"2,059","1,078",981,"2,059","1,078",981,0,0,0,,"3,954","1,784","2,170","3,954","1,784","2,170",0,0,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
"Table16.7 Kakonko District Council : Total Population by Age in Single Years, Five Years Age Groups,  Sex and Residence",,,,,,,,,,,"Table16.7 Kakonko District Council : Total Population by Age in Single Years, Five Years Age Groups,  Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"203,469","98,692","104,777","201,073","97,571","103,502","2,396","1,121","1,275",,"164,784","79,733","85,051","159,534","77,213","82,321","5,250","2,520","2,730",,,,,,,,,,,,,,,
0-4,"43,046","21,508","21,538","42,590","21,278","21,312",456,230,226,,"32,992","16,420","16,572","32,144","15,984","16,160",848,436,412,,,,,,,,,,,,,,,
9-May,"33,177","16,623","16,554","32,806","16,458","16,348",371,165,206,,"26,618","13,361","13,257","25,841","12,964","12,877",777,397,380,,,,,,,,,,,,,,,
4-Oct,"28,041","14,066","13,975","27,679","13,896","13,783",362,170,192,,"23,201","11,575","11,626","22,408","11,169","11,239",793,406,387,,,,,,,,,,,,,,,
15-19,"20,058","9,473","10,585","19,816","9,353","10,463",242,120,122,,"15,665","7,459","8,206","15,104","7,200","7,904",561,259,302,,,,,,,,,,,,,,,
20-24,"15,694","6,851","8,843","15,511","6,773","8,738",183,78,105,,"12,100","5,540","6,560","11,675","5,359","6,316",425,181,244,,,,,,,,,,,,,,,
25-29,"13,690","6,325","7,365","13,537","6,250","7,287",153,75,78,,"9,974","4,783","5,191","9,647","4,635","5,012",327,148,179,,,,,,,,,,,,,,,
30-34,"11,337","5,415","5,922","11,190","5,346","5,844",147,69,78,,"8,145","3,836","4,309","7,864","3,714","4,150",281,122,159,,,,,,,,,,,,,,,
35-39,"9,615","4,599","5,016","9,507","4,559","4,948",108,40,68,,"7,582","3,529","4,053","7,324","3,414","3,910",258,115,143,,,,,,,,,,,,,,,
40-44,"7,658","3,804","3,854","7,572","3,760","3,812",86,44,42,,"6,176","2,862","3,314","5,947","2,751","3,196",229,111,118,,,,,,,,,,,,,,,
45-49,"5,520","2,705","2,815","5,453","2,673","2,780",67,32,35,,"4,902","2,417","2,485","4,731","2,342","2,389",171,75,96,,,,,,,,,,,,,,,
50-54,"4,515","2,156","2,359","4,458","2,130","2,328",57,26,31,,"4,646","2,127","2,519","4,474","2,035","2,439",172,92,80,,,,,,,,,,,,,,,
55-59,"2,455","1,279","1,176","2,410","1,256","1,154",45,23,22,,"2,925","1,502","1,423","2,805","1,451","1,354",120,51,69,,,,,,,,,,,,,,,
60-64,"2,620","1,086","1,534","2,582","1,069","1,513",38,17,21,,"2,758","1,240","1,518","2,676","1,197","1,479",82,43,39,,,,,,,,,,,,,,,
65-69,"1,549",675,874,"1,529",666,863,20,9,11,,"1,747",793,954,"1,685",767,918,62,26,36,,,,,,,,,,,,,,,
70-74,"1,771",717,"1,054","1,750",710,"1,040",21,7,14,,"1,909",796,"1,113","1,863",782,"1,081",46,14,32,,,,,,,,,,,,,,,
75-79,"1,077",565,512,"1,065",560,505,12,5,7,,962,432,530,929,416,513,33,16,17,,,,,,,,,,,,,,,
80+,"1,646",845,801,"1,618",834,784,28,11,17,,"2,482","1,061","1,421","2,417","1,033","1,384",65,28,37,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
"Table16.8 Kasulu Town Council : Total Population by Age in Single Years, Five Years Age Groups,  Sex and Residence",,,,,,,,,,,"Table16.8 Kasulu Town Council : Total Population by Age in Single Years, Five Years Age Groups,  Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"190,860","90,893","99,967","157,408","74,865","82,543","33,452","16,028","17,424",,"203,954","97,099","106,855","138,317","65,855","72,462","65,637","31,244","34,393",,,,,,,,,,,,,,,
0-4,"38,295","19,054","19,241","32,614","16,145","16,469","5,681","2,909","2,772",,"37,133","18,714","18,419","26,417","13,307","13,110","10,716","5,407","5,309",,,,,,,,,,,,,,,
9-May,"29,815","15,047","14,768","25,184","12,676","12,508","4,631","2,371","2,260",,"31,976","15,959","16,017","22,831","11,532","11,299","9,145","4,427","4,718",,,,,,,,,,,,,,,
4-Oct,"25,587","12,680","12,907","21,151","10,616","10,535","4,436","2,064","2,372",,"28,145","13,752","14,393","19,253","9,592","9,661","8,892","4,160","4,732",,,,,,,,,,,,,,,
15-19,"21,031","10,098","10,933","16,937","8,175","8,762","4,094","1,923","2,171",,"22,648","10,782","11,866","14,076","6,813","7,263","8,572","3,969","4,603",,,,,,,,,,,,,,,
20-24,"17,282","7,314","9,968","13,716","5,740","7,976","3,566","1,574","1,992",,"16,593","7,210","9,383","9,969","4,210","5,759","6,624","3,000","3,624",,,,,,,,,,,,,,,
25-29,"13,393","5,968","7,425","10,641","4,694","5,947","2,752","1,274","1,478",,"13,283","5,751","7,532","8,362","3,490","4,872","4,921","2,261","2,660",,,,,,,,,,,,,,,
30-34,"10,158","4,764","5,394","8,141","3,820","4,321","2,017",944,"1,073",,"11,403","5,203","6,200","7,342","3,307","4,035","4,061","1,896","2,165",,,,,,,,,,,,,,,
35-39,"7,772","3,672","4,100","6,217","2,880","3,337","1,555",792,763,,"10,013","4,602","5,411","6,517","2,910","3,607","3,496","1,692","1,804",,,,,,,,,,,,,,,
40-44,"6,589","3,140","3,449","5,326","2,487","2,839","1,263",653,610,,"7,522","3,477","4,045","4,970","2,230","2,740","2,552","1,247","1,305",,,,,,,,,,,,,,,
45-49,"4,590","2,068","2,522","3,762","1,664","2,098",828,404,424,,"5,669","2,774","2,895","3,897","1,874","2,023","1,772",900,872,,,,,,,,,,,,,,,
50-54,"4,277","1,812","2,465","3,577","1,519","2,058",700,293,407,,"4,946","2,386","2,560","3,493","1,663","1,830","1,453",723,730,,,,,,,,,,,,,,,
55-59,"2,587","1,206","1,381","2,127",987,"1,140",460,219,241,,"3,007","1,495","1,512","2,121","1,018","1,103",886,477,409,,,,,,,,,,,,,,,
60-64,"2,800","1,123","1,677","2,402",938,"1,464",398,185,213,,"3,205","1,438","1,767","2,432","1,067","1,365",773,371,402,,,,,,,,,,,,,,,
65-69,"2,091",854,"1,237","1,780",714,"1,066",311,140,171,,"2,023",902,"1,121","1,571",678,893,452,224,228,,,,,,,,,,,,,,,
70-74,"1,987",830,"1,157","1,687",734,953,300,96,204,,"2,310",913,"1,397","1,812",725,"1,087",498,188,310,,,,,,,,,,,,,,,
75-79,"1,118",549,569,905,466,439,213,83,130,,"1,291",628,663,"1,001",499,502,290,129,161,,,,,,,,,,,,,,,
80+,"1,488",714,774,"1,241",610,631,247,104,143,,"2,787","1,113","1,674","2,253",940,"1,313",534,173,361,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
"Table17.0 Shinyanga Region : Total Population by Five Years Age Groups,  Sex and Residence",,,,,,,,,,,"Table17.0 Shinyanga Region : Total Population by Five Years Age Groups,  Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"1,245,112","616,060","629,052","1,091,088","538,472","552,616","154,024","77,588","76,436",,"1,510,029","737,181","772,848","1,265,737","620,419","645,318","244,292","116,762","127,530",,,,,,,,,,,,,,,
0-4,"221,303","111,572","109,731","199,710","100,765","98,945","21,593","10,807","10,786",,"278,365","139,305","139,060","242,909","121,728","121,181","35,456","17,577","17,879",,,,,,,,,,,,,,,
9-May,"195,819","98,465","97,354","176,993","89,237","87,756","18,826","9,228","9,598",,"242,929","121,903","121,026","212,398","106,852","105,546","30,531","15,051","15,480",,,,,,,,,,,,,,,
4-Oct,"161,439","81,175","80,264","144,031","72,934","71,097","17,408","8,241","9,167",,"201,234","100,473","100,761","172,689","86,875","85,814","28,545","13,598","14,947",,,,,,,,,,,,,,,
