2002 TPHC ,,,,,,,,,,,2012 TPHC ,,,,,,,,,,,,,,,,,,,,,,,
"Table 1.0: Dodoma Region: Total Population by Age in Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 1.0: Dodoma Region: Total Population by Age in Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
40-44,"10,581","4,879","5,702","10,274","4,745","5,529",307,134,173,,"14,834","6,821","8,013","13,936","6,428","7,508",898,393,505,,,,,,,,,,,,,,,
45-49,"7,738","3,577","4,161","7,503","3,475","4,028",235,102,133,,"10,589","4,914","5,675","9,930","4,621","5,309",659,293,366,,,,,,,,,,,,,,,
50-54,"6,834","3,006","3,828","6,615","2,935","3,680",219,71,148,,"9,574","4,484","5,090","8,973","4,197","4,776",601,287,314,,,,,,,,,,,,,,,
55-59,"5,455","2,480","2,975","5,268","2,409","2,859",187,71,116,,"5,720","2,743","2,977","5,359","2,574","2,785",361,169,192,,,,,,,,,,,,,,,
60-64,"5,440","2,348","3,092","5,228","2,254","2,974",212,94,118,,"6,040","2,686","3,354","5,630","2,534","3,096",410,152,258,,,,,,,,,,,,,,,
65-69,"4,110","1,810","2,300","3,976","1,758","2,218",134,52,82,,"4,543","2,059","2,484","4,223","1,921","2,302",320,138,182,,,,,,,,,,,,,,,
70-74,"3,805","1,723","2,082","3,678","1,672","2,006",127,51,76,,"4,743","2,121","2,622","4,449","2,011","2,438",294,110,184,,,,,,,,,,,,,,,
75-79,"2,230","1,108","1,122","2,140","1,071","1,069",90,37,53,,"2,912","1,332","1,580","2,710","1,246","1,464",202,86,116,,,,,,,,,,,,,,,
80+,"2,979","1,318","1,661","2,865","1,266","1,599",114,52,62,,"5,620","2,329","3,291","5,299","2,201","3,098",321,128,193,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
